NAF_SECTION,Entité,g CO2 / € du secteur,g CO2 /  € de l'entreprise,tonnes CO2 scopes 1 & 2
INDUSTRIE MANUFACTURIÈRE,NCS,111.09005926541855,32.412254271599345,6149
TRANSPORTS ET ENTREPOSAGE,Société de Fret et de Services,204.66311751274316,32.299000243476115,2009.5
HÉBERGEMENT ET RESTAURATION,Restoria,35.39174818344916,31.41641035299451,1579
INDUSTRIE MANUFACTURIÈRE,MAGNETI MARELLI,111.09005926541855,31.135097829823554,7146
INDUSTRIE MANUFACTURIÈRE,MACOPRODUCTIONS,111.09005926541855,30.96213976978937,4796.82
ACTIVITÉS FINANCIÈRES ET DASSURANCE,CAISSE DEPARGNE MIDIPYRENEES,0.9862627254439513,30.851130066621007,991
TRANSPORTS ET ENTREPOSAGE,Société dExploitation des Ports du Détroit,204.66311751274316,30.66643253671766,2672
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,ASTEN SAS,19.57412416974631,30.6264208133367,4365
INDUSTRIE MANUFACTURIÈRE,DELIFRANCE,111.09005926541855,30.457343960367023,11017
CONSTRUCTION,Chubb France,36.54854887929035,30.334439109295413,10493.06
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,APAVE NORD OUEST SAS,19.57412416974631,29.99852420755045,5780
INDUSTRIE MANUFACTURIÈRE,Rector Lesage,111.09005926541855,29.833100617643318,5624
INDUSTRIE MANUFACTURIÈRE,Socomec SAS France,111.09005926541855,29.81337685630054,9365
INDUSTRIE MANUFACTURIÈRE,OVH,111.09005926541855,29.71162764854223,16981
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,SGS France,19.57412416974631,29.68323536154124,5781
INDUSTRIE MANUFACTURIÈRE,Bonduelle Traiteur International SAS,111.09005926541855,29.570984547210358,3025
HÉBERGEMENT ET RESTAURATION,RESDIDA,35.39174818344916,29.51596633320876,597
TRANSPORTS ET ENTREPOSAGE,FEDEX INTERNATIONAL,204.66311751274316,29.357278060793707,2223
INDUSTRIE MANUFACTURIÈRE,Pompes GRUNDFOS France,111.09005926541855,29.3454945591656,1486
ACTIVITÉS DE SCE ADMINISTR  DE SOUTIEN,ista,11.337593411672346,29.25504835445395,2727
INDUSTRIE MANUFACTURIÈRE,Eurial Beurre Fromage,111.09005926541855,28.774199859297457,15295
INDUSTRIE MANUFACTURIÈRE,SVA Jean Rozé,111.09005926541855,28.54857991045837,20398
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,Institut de Soudure,19.57412416974631,28.423299032840283,4411.89
HÉBERGEMENT ET RESTAURATION,Select Service Partner France,35.39174818344916,28.306073438572067,848
INDUSTRIE MANUFACTURIÈRE,CREUZET AERONAUTIQUE,111.09005926541855,28.27602745233812,2837.32
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,ALDI ENNERY SARL,10.451564077108435,28.136012743096092,5466.21
INDUSTRIE MANUFACTURIÈRE,PETIT BATEAU FRANCE,111.09005926541855,28.068538570762705,4363.1
INDUSTRIE MANUFACTURIÈRE,BIORAD SNC,111.09005926541855,28.014958101232033,2792
